title,summary,platformList,criticsScore,developers,genres,publishers,releaseDate,themes,gameMins,dlcs,backgroundImage,squareIcon,verticalCover
198X,"198X is not just a beat ’em up, a shoot ’em up, a racing game, a ninja game and an RPG. This is a love letter to the golden age of arcade games – yet with a scope that was never possible in the actual 1980s. It’s a story about finding yourself – and your self-confidence – in the world of video games. A coming-of-age story told through multiple game genres, worlds and characters. Feel the sensation of fighting, shooting, driving, jumping and role-playing – combined with emotional, cinematic storytelling.\n\nAnd what happens when the line between reality and game starts to blur…?",['Humble Bundle'],70,['Hi-Bit Studios'],"['Arcade', 'Indie']",['Hi-Bit Studios'],2019-06-20,['Action'],,,https://images.gog.com/fcfe8fb083128ec7b13776c5eef3a0c41205efcd15afffd843c1800643d67bf9_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/52355e2168005f18094b56723ec68863f47a31056a4818257f675bde42e3feca_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/52355e2168005f18094b56723ec68863f47a31056a4818257f675bde42e3feca_glx_vertical_cover.webp?namespace=gamesdb
911 Operator,"911 Operator is a game about the difficult work of people that manage emergency lines and services. Main task is to answer incoming calls and to react properly - give first aid instructions, advise, dispatch correct number of firemen / police / ambulances, or sometimes just ignore the call.",['Humble Bundle'],76,['Jutsu Games'],"['Indie', 'Simulator', 'Strategy']","['PlayWay S.A.', 'SONKA']",2017-02-24,,,['911 Operator - Special Resources DLC'],https://images.gog.com/d1a0365c363922663c8f62b1c7c0a07e1579c005c1cffafc85e7478057291137_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/c3ae1235945a33e8f071540b0f8ef9504f91d423f05d120632c577941596592a_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/c3ae1235945a33e8f071540b0f8ef9504f91d423f05d120632c577941596592a_glx_vertical_cover.webp?namespace=gamesdb
911 Operator,"911 Operator is a game about the difficult work of people that manage emergency lines and services. Main task is to answer incoming calls and to react properly - give first aid instructions, advise, dispatch correct number of firemen / police / ambulances, or sometimes just ignore the call.",['Steam'],76,['Jutsu Games'],"['Indie', 'Simulator', 'Strategy']","['PlayWay S.A.', 'SONKA']",2017-02-24,,,,https://images.gog.com/d1a0365c363922663c8f62b1c7c0a07e1579c005c1cffafc85e7478057291137_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/c3ae1235945a33e8f071540b0f8ef9504f91d423f05d120632c577941596592a_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/c3ae1235945a33e8f071540b0f8ef9504f91d423f05d120632c577941596592a_glx_vertical_cover.webp?namespace=gamesdb
1943 Berlin Blitz,Join a Lancaster bomber crew during a raid over Berlin in World War Two.,['Steam'],,,['Indie'],,2018-10-04,,,,https://images.gog.com/6640d5e124c15051decdea892650cc7f6525b1102ad3ab5adfb5a146610a822b_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/60f9d08d6902594c39b2c8b31b6cd47814d19e9ecee94428efba5544030ef65a_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/cf77f135d5194830b3756d7e4b695d3b582906c6a990dc8f931cdba32d8f0a4a_glx_vertical_cover.webp?namespace=gamesdb
2000:1: A Space Felony,"2000:1: A Space Felony is a murder mystery courtroom drama set aboard the USS Endowment, an interplanetary Spacecraft that has lost communication with Earth.\n\nUtilising your camera and demonstrating your keen detective skills, you must document your findings, and piece together the crew's final hours from the aftermath. This photographic evidence is then applied in a cross-examination of the crime's prime suspect; MAL, the ship's on-board AI system.\n\nIf MAL is guilty, it is your responsibility to deactivate him.\n\nA follow-up(ish) to 2016's critically acclaimed(ish) ""Disorient On The Murder Express"", National Insecurities returns with a much more ambitious investigation that walks the line between science and fiction, resulting in some kind of combination of the two.",['Humble Bundle'],,['National Insecurities'],['Adventure'],['Humble Bundle'],2017-07-07,['Science fiction'],,,,https://images.gog.com/81e7d91d9394b30d6daffc305598506a7cc9640571585ad08516ed314347808a_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/81e7d91d9394b30d6daffc305598506a7cc9640571585ad08516ed314347808a_glx_vertical_cover.webp?namespace=gamesdb
6180 The Moon,"6180 the moon is a platformer game with a unique mechanic. It offers a fresh, unseen gameplay style by connecting the top and bottom of the screen. This allows in a mechanic with delightfully long jumps and no fear of 'slipping' to death.\n\nIn addition to the unique gameplay, 6180 the moon delivers a unique storyline. The Sun has gone. The Moon sets off on a journey to find the Sun. Along the journey will be hazardous courses and deep realizations.\n\nThis game was co-created by South Korea's Indie Game Studios, Turtle Cream and PokPoong Games. The fantastic music was provided by Merry Go Sound.",['Steam'],,"['PokPoong Games', 'Turtle Cream']","['Indie', 'Platform']",['Turtle Cream'],2014-09-19,['Action'],,,https://images.gog.com/25592e0d362283f1f51fc44709c03494b9f3e31b012b28c53677c76493651dac_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/534db590ffb00155d0bd3619b5e446b2f2fbed7a74c1f27ab4ab58751d64f67c_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/534db590ffb00155d0bd3619b5e446b2f2fbed7a74c1f27ab4ab58751d64f67c_glx_vertical_cover.webp?namespace=gamesdb
>observer_,"Observer is a first person perspective horror game that focuses on a dark, atmospheric environment and deep story telling.","['Epic Games Store', 'Humble Bundle', 'Steam']",74,['Bloober Team'],"['Adventure', 'Indie']",['Aspyr Media'],2017-08-15,"['Horror', 'Science fiction', 'Thriller']",,,https://images.gog.com/ae5c65c2fe3689814bd1ec67ec2a373c617fa9cd72eebbb02bb5239c3abeff67_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/8944c9e503309b42eaa45c5e1e7372faf54bdcc1215e26f8a111c25e4d2c9785_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/a1255dd35fd3f7b7671a7d320b69a4a6240beebe8a80685c39c2ef6e80eaa7d0_glx_vertical_cover.webp?namespace=gamesdb
A2Be - A Science Fiction Narrative,"THE GATEWAY THAT SAVED THE WORLD\nIn the far future, the invention of instantaneous and waste-free transportation has brought a new age of utopia for humanity.\n\nClosing the distance between us and diminishing ecological burdens to globalization, this new technology will bring the world to our fingertips and open the doors to the infinite.\n\nExplore this brave vision of our destiny, and see its wonders.",['Humble Bundle'],,['Vagabond Dog'],['Indie'],['Vagabond Dog'],2017-05-07,,,,https://images.gog.com/b44334989a2fe57534b16ddf9dae92c31e032eeb4d0ed4d3aadcc52b8a218e81_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/08c9b3f950d759a21a30b9e9a78740b3bb0f7bfa2a5a5827c3b0b691a2c13976_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/08c9b3f950d759a21a30b9e9a78740b3bb0f7bfa2a5a5827c3b0b691a2c13976_glx_vertical_cover.webp?namespace=gamesdb
A Short Hike,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit.","['Epic Games Store', 'Humble Bundle']",75,['adamgryu'],"['Adventure', 'Indie']",['adamgryu'],2019-07-30,['Fantasy'],,,https://images.gog.com/ee438345248bb3215af6025a532b8c5fb23065cf669cf14b8992df90cd1a5be9_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/dcf122e795dc60c190a2dc600685189b9fef1ffb8f37308de5d8914e70cbe69a_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/d54888c83bc67d38a7fecde8d298fb33d7a9531556b4a3bcecbf5eaa7e6531bb_glx_vertical_cover.webp?namespace=gamesdb
A Story About My Uncle,"A Story About My Uncle is a non-violent First-Person platform adventure game built in the Unreal Engine. It is a story about a boy who searches for his lost uncle and ends up in a world he couldn’t imagine existed.\n\nThe movement through the world in A Story About My Uncle is a crucial part of its core gameplay, focusing on swinging yourself through caverns with a grappling hook mechanic that gives the player a wonderful sense of speed and freedom. Soar through a game world with a unique art style and a mysterious story unraveling slowly before you.",['Humble Bundle'],69,['Gone North Games'],"['Adventure', 'Indie', 'Platform', 'Puzzle']",['Coffee Stain Studios'],2014-05-28,"['Action', 'Fantasy', 'Science fiction']",,,https://images.gog.com/0af31330492d67076ed0a67c63ab4311cbc708edfcced03f0f26553119d89fa4_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/f26d3e6ad3db3931852387a70a8cac5af49ac450f08f0f5ee5639bb0b0ebe254_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/f26d3e6ad3db3931852387a70a8cac5af49ac450f08f0f5ee5639bb0b0ebe254_glx_vertical_cover.webp?namespace=gamesdb
A Story About My Uncle,"A Story About My Uncle is a non-violent First-Person platform adventure game built in the Unreal Engine. It is a story about a boy who searches for his lost uncle and ends up in a world he couldn’t imagine existed.\n\nThe movement through the world in A Story About My Uncle is a crucial part of its core gameplay, focusing on swinging yourself through caverns with a grappling hook mechanic that gives the player a wonderful sense of speed and freedom. Soar through a game world with a unique art style and a mysterious story unraveling slowly before you.",['Steam'],69,['Gone North Games'],"['Adventure', 'Indie', 'Platform', 'Puzzle']",['Coffee Stain Studios'],2014-05-28,"['Action', 'Fantasy', 'Science fiction']",,,https://images.gog.com/0af31330492d67076ed0a67c63ab4311cbc708edfcced03f0f26553119d89fa4_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/f26d3e6ad3db3931852387a70a8cac5af49ac450f08f0f5ee5639bb0b0ebe254_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/f26d3e6ad3db3931852387a70a8cac5af49ac450f08f0f5ee5639bb0b0ebe254_glx_vertical_cover.webp?namespace=gamesdb
A Total War Saga: TROY,"A Total War Saga: Troy is the first in the award-winning strategy series to focus on the Bronze-Age Mediterranean and the legendary twenty-year conflict between the kingdoms of Troy and Mycenaean Greece, known as the Trojan War.",['Epic Games Store'],76,['Creative Assembly Sofia'],"['Real Time Strategy (RTS)', 'Strategy', 'Turn-based strategy (TBS)']",['Sega'],2020-08-13,"['Action', 'Historical']",,,https://images.gog.com/6fb7a07ce3c50676d249d0e924a9f9a1b23210f9f404453868358e0d07bbe80d_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/d778a969bba23af07c66a5e120c4bcacf805825406f8e2a71ea37de6cc2a9774_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/d778a969bba23af07c66a5e120c4bcacf805825406f8e2a71ea37de6cc2a9774_glx_vertical_cover.webp?namespace=gamesdb
Aaero,"""Speed through stunning, stylised environments tracing ribbons of light, releasing the energy in the music. Battle strange enemies and fight epic boss battles all driven by an incredible licensed soundtrack.\n\nIndependent micro-studio ‘Mad Fellows’ brings you a unique and innovative game featuring music from Noisia, Flux Pavilion, Katy B, The Prototypes, Neosignal and many more.""",['Humble Bundle'],70,['Mad Fellows'],"['Indie', 'Music', 'Shooter']",['Reverb Triple XP'],2017-04-11,"['Action', 'Science fiction']",,,https://images.gog.com/36f61a2e4c17203c5b66d36510226ee4321e086c621df1430631b5480c9aa059_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/4019022b5601452324d7a537170a7b658c722646ff2ac1cd8222da4824c5f0b0_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/792e9f39e9edb09a599b555a299802f5be646e50aeeb904fba4146b26532eb1f_glx_vertical_cover.webp?namespace=gamesdb
Aaero,"""Speed through stunning, stylised environments tracing ribbons of light, releasing the energy in the music. Battle strange enemies and fight epic boss battles all driven by an incredible licensed soundtrack.\n\nIndependent micro-studio ‘Mad Fellows’ brings you a unique and innovative game featuring music from Noisia, Flux Pavilion, Katy B, The Prototypes, Neosignal and many more.""",['Steam'],70,['Mad Fellows'],"['Indie', 'Music', 'Shooter']",['Reverb Triple XP'],2017-04-11,"['Action', 'Science fiction']",,,https://images.gog.com/36f61a2e4c17203c5b66d36510226ee4321e086c621df1430631b5480c9aa059_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/4019022b5601452324d7a537170a7b658c722646ff2ac1cd8222da4824c5f0b0_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/792e9f39e9edb09a599b555a299802f5be646e50aeeb904fba4146b26532eb1f_glx_vertical_cover.webp?namespace=gamesdb
Absolver,"Absolver is an online multiplayer combat RPG where players are placed behind the mask of a Prospect under control of the Guides, the new rulers of the fallen Adal Empire, who have placed you here to determine your worth in joining their elite corps of Absolvers.",['Humble Bundle'],75,['Sloclap'],"['Adventure', 'Fighting', 'Indie', 'Role-playing (RPG)']",['Devolver Digital'],2017-08-29,['Action'],,,https://images.gog.com/e49568d149addd76bacd1168766692b2145196493f58ca0b4b3aca2ff27b7b5b_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/b8ba501a838c8405222489a888cdaa953009d7fc1b98911097bf3337cbc1682a_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/b8ba501a838c8405222489a888cdaa953009d7fc1b98911097bf3337cbc1682a_glx_vertical_cover.webp?namespace=gamesdb
Absolver,"Absolver is an online multiplayer combat RPG where players are placed behind the mask of a Prospect under control of the Guides, the new rulers of the fallen Adal Empire, who have placed you here to determine your worth in joining their elite corps of Absolvers.",['Steam'],75,['Sloclap'],['Role-playing (RPG)'],['Devolver Digital'],2017-08-29,['Action'],,,https://images.gog.com/e49568d149addd76bacd1168766692b2145196493f58ca0b4b3aca2ff27b7b5b_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/b8ba501a838c8405222489a888cdaa953009d7fc1b98911097bf3337cbc1682a_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/b8ba501a838c8405222489a888cdaa953009d7fc1b98911097bf3337cbc1682a_glx_vertical_cover.webp?namespace=gamesdb
Accounting,"The modern field of Accountancy is a serious and honorable profession. Many human beings have spent their lives toiling over the hard science of numbers. Thousands have died so that we may get to the level of understanding that we have today. Thousands have died. However, as Accountants and Numbersmiths embraced the abacus and the calculator, today we must embrace the latest technological advancement.",['Steam'],,"['Crow Crows Crows', 'Squanch Games']","['Adventure', 'Indie', 'Puzzle']",['Crow Crows Crows'],2016-10-18,['Comedy'],34,,https://images.gog.com/a937f74a8345fa5fa5550c4a3cd357226014235dbae8d37c79742d6f0e1ac58c_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/5535833079a7e9d74e43b04185ed6096672e010f09eba7cba0860849e6f28402_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/5535833079a7e9d74e43b04185ed6096672e010f09eba7cba0860849e6f28402_glx_vertical_cover.webp?namespace=gamesdb
Accounting+,"Accounting returns to its roots with Accounting+, a nIGHTMARE aDVENTURE cOMEDY made by Crows Crows Crows and designed with Squanch Games! Double the size of the original Accounting (one of the most popular titles on the HTC Vive), Accounting+ features new things that the original did not have, continuing to combine the absurd creative sensibilities of William Pugh (The Stanley Parable), Justin Roiland (Rick and Morty) and Dominik Johann (Minit) to baffling extremes.\n\nBefore the 19th of December 2017 there has never been a video game in which you join a gang with A Dog voiced by Rich Fulcher (The Mighty Boosh)… But we used to live in dark and disturbing times.",['Steam'],80,['Crow Crows Crows'],"['Adventure', 'Indie', 'Simulator']","['Crow Crows Crows', 'Limited Run']",2018-10-18,"['Action', 'Horror']",,,https://images.gog.com/fa90ce0699b5379c77a967d300a7318a7d94a4b9be20e6958d5ba997ecdb3750_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/2f67945d7c1ec92d0832ae6b2237c0b7406e33f92948dd682ccc29d32519aeba_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/2f67945d7c1ec92d0832ae6b2237c0b7406e33f92948dd682ccc29d32519aeba_glx_vertical_cover.webp?namespace=gamesdb
Aegis Defenders (Beta),,['Humble Bundle'],,,,,2020-09-16,,,,,,
Aegis Defenders,"Take on wild beasts, ruthless soldiers, and ancient gods in this 2D Action-Platformer inspired by Tower-Defense combat.",['Humble Bundle'],80,['GUTS Department'],"['Adventure', 'Indie', 'Platform', 'Role-playing (RPG)', 'Strategy']",['GUTS Department'],2018-02-08,"['Action', 'Fantasy', 'Science fiction']",,,https://images.gog.com/7b479d6105b80b51034ca75fbca23e24172bd7d15fafacb6106dd2598b616a38_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/d3c55f9ada399e348a60fb0207eaa097845bae55ac23e3405de4adfbf070f3d3_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/8be9f3588635629d254537e2e19982c557bd62d7a77526c08b43876b80872f4a_glx_vertical_cover.webp?namespace=gamesdb
Aegis Defenders,"Take on wild beasts, ruthless soldiers, and ancient gods in this 2D Action-Platformer inspired by Tower-Defense combat.",['Steam'],80,['GUTS Department'],"['Adventure', 'Indie', 'Platform', 'Role-playing (RPG)', 'Strategy']",['GUTS Department'],2018-02-08,"['Action', 'Fantasy', 'Science fiction']",,,https://images.gog.com/7b479d6105b80b51034ca75fbca23e24172bd7d15fafacb6106dd2598b616a38_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/d3c55f9ada399e348a60fb0207eaa097845bae55ac23e3405de4adfbf070f3d3_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/8be9f3588635629d254537e2e19982c557bd62d7a77526c08b43876b80872f4a_glx_vertical_cover.webp?namespace=gamesdb
